temp,atemp,hum,windspeed,casual,registered,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,cnt
0.34,0.3182,0.49,0.2537,10,36,fall,2012,November,2,0,Saturday,0,Mist,46
0.34,0.303,0.61,0.4179,8,60,fall,2011,October,23,0,Thursday,1,Clear,68
0.26,0.303,0.6,0.0,5,115,fall,2012,December,23,0,Thursday,1,Clear,120
0.38,0.3939,0.4,0.1343,24,134,spring,2012,April,8,0,Saturday,0,Clear,158
0.72,0.6667,0.51,0.0896,78,142,summer,2012,August,21,0,Sunday,0,Clear,220
0.72,0.6667,0.58,0.1343,61,127,spring,2011,June,20,0,Saturday,0,Mist,188
0.7,0.6364,0.34,0.2836,110,703,spring,2012,June,18,0,Thursday,1,Clear,813
0.24,0.2576,0.7,0.0896,1,31,winter,2011,December,6,0,Friday,1,Clear,32
0.46,0.4545,0.33,0.3881,94,212,spring,2012,April,13,0,Friday,1,Clear,306
0.26,0.2576,0.6,0.2239,20,70,winter,2012,March,9,0,Sunday,0,Clear,90
0.4,0.4091,0.87,0.0,1,3,fall,2011,October,3,0,Tuesday,1,Clear,4
0.7,0.6667,0.74,0.1045,19,133,summer,2012,August,23,0,Thursday,1,Clear,152
0.3,0.2879,0.52,0.2239,0,6,winter,2012,February,2,0,Friday,1,Clear,6
0.62,0.5606,0.88,0.1642,4,39,summer,2012,August,2,0,Saturday,0,Light Snow,43
0.44,0.4394,0.16,0.6119,52,103,winter,2011,February,13,0,Saturday,0,Clear,155
0.32,0.2879,0.28,0.5224,9,38,winter,2011,February,20,0,Saturday,0,Clear,47
0.34,0.3485,0.53,0.1045,9,259,winter,2012,March,7,0,Monday,1,Clear,268
0.94,0.8788,0.38,0.2537,118,219,summer,2012,July,13,0,Sunday,0,Clear,337
0.04,0.0303,0.41,0.2836,1,6,winter,2011,January,3,0,Saturday,0,Mist,7
0.5,0.4848,0.45,0.2239,2,30,spring,2012,March,5,0,Thursday,1,Clear,32
0.58,0.5455,0.94,0.0896,3,4,summer,2011,September,4,0,Saturday,0,Clear,7
0.54,0.5152,0.64,0.1343,135,229,summer,2011,September,12,0,Sunday,0,Clear,364
0.64,0.5909,0.78,0.0,31,122,summer,2012,July,8,0,Sunday,0,Mist,153
0.2,0.1818,0.34,0.2836,40,184,winter,2012,January,13,0,Sunday,0,Clear,224
0.46,0.4545,0.63,0.5522,14,205,winter,2012,January,16,0,Tuesday,1,Clear,219
0.42,0.4242,0.94,0.3582,2,12,fall,2012,October,23,0,Sunday,0,Light Snow,14
0.68,0.6364,0.79,0.1343,8,132,summer,2012,July,6,0,Monday,1,Clear,140
0.36,0.3333,1.0,0.2836,3,8,winter,2011,March,16,0,Sunday,0,Light Snow,11
0.78,0.7576,0.66,0.2836,54,175,summer,2011,July,13,0,Friday,1,Mist,229
0.44,0.4394,0.94,0.0,0,3,winter,2012,March,4,0,Monday,1,Clear,3
0.36,0.3333,0.29,0.3582,18,109,winter,2012,January,21,0,Saturday,0,Clear,127
0.34,0.3636,0.87,0.0,11,61,fall,2011,November,23,0,Tuesday,1,Clear,72
0.7,0.6515,0.65,0.194,99,153,spring,2011,May,19,0,Saturday,0,Clear,252
0.6,0.5,1.0,0.1045,16,295,summer,2011,September,7,0,Thursday,1,Mist,311
0.26,0.2273,0.93,0.3582,0,1,fall,2011,October,5,0,Saturday,0,Light Snow,1
0.7,0.6667,0.74,0.3582,72,238,spring,2012,June,12,0,Friday,1,Mist,310
0.42,0.4242,0.47,0.194,25,209,spring,2012,April,21,0,Thursday,1,Clear,234
0.42,0.4242,0.71,0.0896,25,104,fall,2011,November,10,0,Tuesday,1,Clear,129
0.4,0.4091,0.94,0.1045,0,6,fall,2012,December,6,0,Sunday,0,Light Snow,6
0.22,0.197,0.75,0.3284,15,107,winter,2012,February,9,0,Saturday,0,Light Snow,122
0.64,0.6212,0.57,0.0896,23,90,spring,2011,June,0,0,Sunday,0,Clear,113
0.54,0.5152,0.88,0.0,18,32,spring,2012,March,1,0,Friday,1,Clear,50
0.52,0.5,0.77,0.194,1,8,spring,2012,May,1,0,Monday,1,Mist,9
0.58,0.5455,0.83,0.2239,73,153,spring,2011,May,10,0,Sunday,0,Clear,226
0.4,0.4091,0.62,0.2836,4,31,winter,2011,December,1,0,Saturday,0,Mist,35
0.38,0.3939,0.87,0.0,2,26,fall,2012,December,0,0,Monday,1,Mist,28
0.58,0.5455,0.37,0.194,191,273,spring,2011,April,16,0,Saturday,0,Clear,464
0.4,0.4091,0.82,0.1343,8,216,winter,2012,January,20,0,Thursday,1,Mist,224
0.5,0.4848,0.77,0.1642,2,31,spring,2012,May,0,0,Thursday,1,Light Snow,33
0.58,0.5455,0.88,0.2836,17,229,spring,2011,April,7,0,Wednesday,1,Mist,246
0.6,0.5455,0.88,0.0,21,107,summer,2011,August,0,0,Saturday,0,Clear,128
0.4,0.4091,0.54,0.194,21,169,fall,2012,October,21,0,Friday,1,Clear,190
0.26,0.2879,0.7,0.0896,0,2,fall,2012,November,3,0,Thursday,1,Mist,2
0.4,0.4091,0.94,0.1045,2,9,winter,2012,March,6,0,Sunday,0,Mist,11
0.22,0.2273,0.51,0.1642,7,79,winter,2011,February,16,0,Tuesday,1,Clear,86
0.56,0.5303,0.6,0.0896,8,19,spring,2012,June,3,0,Saturday,0,Clear,27
0.66,0.5909,0.94,0.194,7,27,spring,2012,June,0,0,Wednesday,1,Mist,34
0.4,0.4091,0.94,0.1045,0,6,winter,2012,March,5,0,Sunday,0,Mist,6
0.56,0.5303,0.84,0.0,3,117,spring,2012,May,6,0,Wednesday,1,Light Snow,120
0.34,0.303,0.57,0.3284,4,130,spring,2012,April,22,0,Wednesday,1,Clear,134
0.6,0.6212,0.43,0.194,64,112,spring,2011,April,15,0,Monday,1,Mist,176
0.86,0.8182,0.5,0.2537,47,399,summer,2012,July,20,0,Thursday,1,Clear,446
0.08,0.1061,0.35,0.1343,6,53,winter,2011,January,19,0,Saturday,0,Clear,59
0.64,0.5606,0.94,0.0,12,19,spring,2011,May,7,1,Monday,0,Mist,31
0.84,0.7424,0.39,0.3881,68,478,summer,2011,July,18,0,Tuesday,1,Clear,546
0.3,0.3333,0.65,0.0,19,166,winter,2012,January,21,0,Wednesday,1,Clear,185
0.64,0.5758,0.89,0.0896,9,3,spring,2011,June,1,0,Monday,1,Clear,12
0.66,0.6212,0.36,0.2239,350,433,summer,2012,September,16,0,Saturday,0,Mist,783
0.54,0.5152,0.83,0.0,1,40,summer,2012,September,5,0,Friday,1,Clear,41
0.52,0.5,0.72,0.0,6,8,summer,2012,September,2,0,Friday,1,Clear,14
0.46,0.4545,0.87,0.194,0,3,fall,2011,December,3,0,Tuesday,1,Mist,3
0.7,0.6364,0.39,0.0,48,170,summer,2011,August,13,0,Monday,1,Mist,218
0.3,0.2727,0.52,0.2985,16,71,fall,2012,November,21,0,Sunday,0,Clear,87
0.84,0.8182,0.56,0.0,46,166,summer,2011,July,20,0,Friday,1,Clear,212
0.66,0.6212,0.36,0.194,257,358,spring,2012,May,14,0,Saturday,0,Clear,615
0.38,0.3939,0.4,0.4627,7,249,winter,2011,February,8,0,Monday,1,Clear,256
0.5,0.4848,0.72,0.0896,0,5,summer,2012,September,4,0,Wednesday,1,Clear,5
0.4,0.4091,0.43,0.4627,17,393,winter,2012,February,18,0,Thursday,1,Clear,410
0.36,0.3636,0.21,0.0896,67,230,winter,2012,March,18,0,Saturday,0,Clear,297
0.34,0.3333,0.76,0.1642,1,25,fall,2012,December,21,0,Thursday,1,Light Snow,26
0.16,0.1364,0.4,0.3284,3,53,winter,2011,February,20,0,Tuesday,1,Clear,56
0.52,0.5,0.55,0.194,160,255,fall,2011,October,13,0,Sunday,0,Clear,415
0.56,0.5303,0.52,0.2537,94,229,fall,2011,November,16,0,Sunday,0,Clear,323
0.24,0.197,0.52,0.4925,7,128,winter,2011,February,9,0,Tuesday,1,Clear,135
0.22,0.197,0.47,0.3284,1,62,winter,2011,February,21,0,Wednesday,1,Clear,63
0.46,0.4545,0.72,0.3881,1,60,winter,2012,January,23,0,Tuesday,1,Clear,61
0.78,0.697,0.43,0.2537,90,161,summer,2012,June,14,0,Monday,1,Clear,251
0.32,0.3485,0.76,0.0,8,6,winter,2011,January,9,0,Saturday,0,Clear,14
0.2,0.1515,0.47,0.5224,2,135,winter,2011,January,18,0,Wednesday,1,Clear,137
0.66,0.5909,0.94,0.1343,8,115,summer,2012,September,9,0,Thursday,1,Light Snow,123
0.52,0.5,0.52,0.1343,27,212,spring,2012,April,21,0,Wednesday,1,Clear,239
0.66,0.6061,0.83,0.2537,33,83,summer,2011,July,23,0,Wednesday,1,Clear,116
0.62,0.6061,0.61,0.1045,10,11,spring,2011,June,6,0,Sunday,0,Mist,21
0.18,0.2121,0.86,0.1045,0,2,winter,2012,January,2,0,Monday,1,Mist,2
0.48,0.4697,0.94,0.2985,0,8,fall,2011,November,1,0,Wednesday,1,Mist,8
0.2,0.2576,0.69,0.0,0,42,fall,2012,November,5,0,Thursday,1,Clear,42
0.56,0.5303,0.78,0.2537,0,14,spring,2011,May,1,0,Tuesday,1,Mist,14
0.46,0.4545,0.88,0.1642,5,32,fall,2012,October,0,0,Tuesday,1,Clear,37
0.9,0.8333,0.39,0.1642,37,110,spring,2011,May,13,0,Tuesday,1,Clear,147
0.62,0.5758,0.83,0.0896,15,69,summer,2011,August,23,0,Thursday,1,Clear,84
0.36,0.3788,0.62,0.0,7,261,fall,2011,December,7,0,Tuesday,1,Mist,268
0.18,0.2121,0.59,0.0896,0,34,winter,2011,January,9,0,Saturday,0,Clear,34
0.9,0.8485,0.42,0.2836,51,137,summer,2012,June,11,0,Friday,1,Mist,188
0.64,0.6061,0.73,0.0,3,18,summer,2012,August,1,0,Thursday,1,Clear,21
0.72,0.697,0.74,0.194,73,301,summer,2012,September,19,1,Monday,0,Clear,374
0.72,0.6667,0.58,0.1045,30,80,spring,2012,June,23,0,Sunday,0,Clear,110
0.58,0.5455,0.64,0.3881,5,24,fall,2012,October,1,0,Monday,1,Mist,29
0.5,0.4848,0.88,0.1642,31,88,spring,2011,May,23,0,Friday,1,Light Snow,119
0.28,0.2727,0.56,0.194,4,111,fall,2012,November,22,0,Monday,1,Clear,115
0.48,0.4697,0.82,0.1343,9,56,spring,2012,March,23,0,Sunday,0,Clear,65
0.62,0.5758,0.83,0.2836,11,92,summer,2012,July,0,0,Saturday,0,Light Snow,103
0.2,0.1818,0.86,0.2836,0,1,winter,2011,January,5,0,Wednesday,1,Light Snow,1
0.5,0.4848,0.88,0.2836,9,114,winter,2011,December,21,0,Wednesday,1,Clear,123
0.5,0.4848,0.34,0.4179,35,80,spring,2011,April,14,0,Wednesday,1,Clear,115
0.7,0.6667,0.84,0.1642,10,52,summer,2012,September,11,0,Thursday,1,Light Snow,62
0.6,0.5455,0.88,0.1343,6,130,spring,2012,June,6,0,Tuesday,1,Mist,136
0.66,0.6212,0.74,0.194,2,40,summer,2012,July,5,0,Thursday,1,Clear,42
0.54,0.5152,0.42,0.1343,35,110,spring,2011,April,12,0,Thursday,1,Clear,145
0.32,0.3182,0.66,0.194,26,67,winter,2011,February,12,1,Monday,0,Mist,93
0.4,0.4091,0.58,0.1343,10,60,spring,2012,April,1,0,Saturday,0,Clear,70
0.5,0.4848,0.88,0.1343,0,4,spring,2012,March,4,0,Wednesday,1,Mist,4
0.64,0.6061,0.69,0.1642,0,20,summer,2011,September,1,0,Thursday,1,Clear,20
0.64,0.6212,0.41,0.2239,64,758,fall,2012,September,18,0,Tuesday,1,Clear,822
0.74,0.697,0.7,0.0896,50,157,summer,2012,August,22,0,Monday,1,Clear,207
0.14,0.1364,0.86,0.194,0,16,winter,2011,February,0,0,Thursday,1,Light Snow,16
0.26,0.2727,0.56,0.0,0,2,winter,2011,January,2,0,Thursday,1,Clear,2
0.16,0.1667,0.47,0.1642,3,92,winter,2011,January,19,0,Monday,1,Clear,95
0.32,0.303,0.93,0.2239,1,92,winter,2012,January,19,0,Wednesday,1,Light Snow,93
0.8,0.803,0.66,0.0,68,445,summer,2011,July,17,0,Tuesday,1,Clear,513
0.3,0.303,0.93,0.1642,0,1,winter,2011,March,4,0,Wednesday,1,Mist,1
0.72,0.7121,0.84,0.1343,50,133,summer,2011,August,20,0,Sunday,0,Clear,183
0.4,0.4091,0.24,0.4179,16,491,fall,2012,November,18,0,Thursday,1,Clear,507
0.66,0.5909,0.89,0.2836,56,625,spring,2012,June,17,0,Tuesday,1,Mist,681
0.4,0.4091,0.62,0.1343,9,124,winter,2012,February,10,0,Wednesday,1,Clear,133
0.74,0.697,0.7,0.0,222,252,summer,2012,September,16,0,Sunday,0,Clear,474
0.28,0.303,0.87,0.0896,2,99,fall,2012,November,6,0,Wednesday,1,Clear,101
0.46,0.4545,0.47,0.4179,26,628,spring,2012,March,8,0,Thursday,1,Clear,654
0.56,0.5303,0.73,0.194,18,106,summer,2012,September,0,0,Sunday,0,Mist,124
0.54,0.5152,0.56,0.3284,12,25,fall,2011,October,0,0,Monday,1,Clear,37
0.22,0.197,0.93,0.3284,3,19,fall,2011,October,16,0,Saturday,0,Light Snow,22
0.7,0.6667,0.74,0.2239,29,122,fall,2011,September,13,0,Tuesday,1,Mist,151
0.86,0.8939,0.63,0.0896,31,177,summer,2011,July,9,0,Friday,1,Clear,208
0.38,0.3939,0.5,0.194,27,141,fall,2011,December,13,0,Friday,1,Clear,168
0.34,0.303,0.71,0.3881,1,6,spring,2011,March,1,0,Monday,1,Mist,7
0.56,0.5303,0.73,0.0,1,5,summer,2011,August,2,0,Wednesday,1,Clear,6
0.62,0.6212,0.5,0.1045,10,12,spring,2011,April,0,0,Tuesday,1,Clear,22
0.36,0.3485,0.76,0.1343,39,336,fall,2012,December,16,0,Friday,1,Clear,375
0.54,0.5152,0.73,0.2239,48,198,fall,2012,October,20,0,Sunday,0,Clear,246
0.82,0.7576,0.46,0.1045,79,466,summer,2011,July,17,0,Tuesday,1,Clear,545
0.3,0.303,0.56,0.1343,24,217,winter,2011,March,8,0,Monday,1,Mist,241
0.32,0.3333,0.53,0.1045,2,30,winter,2012,February,0,0,Wednesday,1,Clear,32
0.38,0.3939,0.66,0.194,26,385,fall,2011,December,18,0,Tuesday,1,Clear,411
0.58,0.5455,0.64,0.3284,102,788,fall,2012,October,17,0,Thursday,1,Mist,890
0.72,0.697,0.74,0.2537,10,27,summer,2012,September,0,0,Wednesday,1,Clear,37
0.22,0.2576,0.93,0.0896,5,32,winter,2012,January,13,0,Monday,1,Light Snow,37
0.3,0.2576,0.49,0.6119,2,60,winter,2011,February,20,0,Friday,1,Clear,62
0.32,0.3485,0.62,0.0,7,59,winter,2011,February,12,0,Monday,1,Mist,66
0.74,0.697,0.66,0.2537,301,269,spring,2012,May,12,0,Sunday,0,Clear,570
0.58,0.5455,0.43,0.194,45,339,spring,2011,May,19,0,Monday,1,Clear,384
0.4,0.4091,0.87,0.1642,2,80,winter,2012,February,6,0,Friday,1,Mist,82
0.42,0.4242,0.5,0.2537,6,345,spring,2012,May,7,0,Friday,1,Clear,351
0.8,0.6818,0.24,0.2537,98,324,summer,2011,July,18,0,Friday,1,Clear,422
0.54,0.5152,0.68,0.1343,76,172,fall,2011,October,19,0,Saturday,0,Clear,248
0.54,0.5152,0.45,0.1642,151,342,fall,2012,November,17,0,Sunday,0,Clear,493
0.64,0.6212,0.5,0.194,72,353,winter,2012,March,19,0,Thursday,1,Mist,425
0.7,0.6364,0.39,0.0896,79,206,spring,2011,June,19,0,Saturday,0,Mist,285
0.82,0.7273,0.38,0.2985,74,166,summer,2011,August,12,0,Wednesday,1,Clear,240
0.8,0.7424,0.49,0.1045,66,156,summer,2011,August,15,0,Friday,1,Clear,222
0.38,0.3939,0.87,0.3284,3,50,spring,2012,April,14,0,Sunday,0,Light Snow,53
0.72,0.6515,0.45,0.1343,71,326,summer,2012,July,21,0,Wednesday,1,Clear,397
0.66,0.6212,0.44,0.0896,225,193,fall,2011,October,13,0,Sunday,0,Clear,418
0.6,0.5909,0.73,0.194,1,6,summer,2011,July,3,0,Friday,1,Clear,7
0.34,0.3333,0.27,0.194,21,214,winter,2011,March,18,0,Tuesday,1,Clear,235
0.34,0.3333,0.61,0.1642,2,3,fall,2011,November,5,0,Sunday,0,Clear,5
0.74,0.697,0.66,0.0,4,118,summer,2012,June,6,0,Friday,1,Mist,122
0.96,0.9091,0.36,0.1642,77,235,summer,2012,July,14,0,Sunday,0,Clear,312
0.72,0.6667,0.54,0.2239,93,532,summer,2012,August,18,0,Tuesday,1,Clear,625
0.64,0.6061,0.69,0.1045,0,10,summer,2012,July,3,0,Thursday,1,Clear,10
0.68,0.6364,0.34,0.194,61,267,summer,2012,June,21,0,Tuesday,1,Clear,328
0.62,0.6212,0.41,0.2537,12,105,spring,2011,April,22,0,Wednesday,1,Clear,117
0.42,0.4242,0.88,0.2537,9,26,winter,2011,January,18,0,Saturday,0,Light Snow,35
0.64,0.6061,0.73,0.2239,42,270,summer,2012,September,21,0,Friday,1,Clear,312
0.7,0.6515,0.65,0.1343,23,157,spring,2011,May,22,0,Thursday,1,Clear,180
0.6,0.6212,0.56,0.2537,0,40,spring,2012,June,5,0,Thursday,1,Mist,40
0.5,0.4848,1.0,0.0,7,59,spring,2011,April,6,0,Monday,1,Mist,66
0.42,0.4242,0.94,0.4925,18,136,fall,2012,October,18,0,Sunday,0,Light Snow,154
0.72,0.6667,0.48,0.1045,140,247,summer,2011,August,19,0,Sunday,0,Clear,387
0.22,0.2273,0.69,0.194,0,39,fall,2012,November,5,0,Wednesday,1,Clear,39
0.26,0.2576,0.6,0.2239,1,3,winter,2011,March,6,0,Sunday,0,Clear,4
0.3,0.2879,0.56,0.194,3,20,fall,2012,November,0,0,Monday,1,Mist,23
0.26,0.2727,0.93,0.1045,11,105,spring,2011,March,17,0,Wednesday,1,Light Snow,116
0.44,0.4394,0.77,0.1343,9,7,spring,2011,May,3,0,Monday,1,Clear,16
0.74,0.6515,0.35,0.2836,49,129,summer,2011,July,14,0,Thursday,1,Clear,178
0.04,0.0758,0.57,0.1045,0,1,winter,2011,January,6,0,Sunday,0,Mist,1
0.7,0.6667,0.74,0.1045,55,224,fall,2012,October,13,0,Wednesday,1,Mist,279
0.62,0.6061,0.69,0.1045,5,15,summer,2012,August,6,0,Sunday,0,Mist,20
0.34,0.3182,0.46,0.2239,0,5,winter,2012,March,5,0,Sunday,0,Mist,5
0.8,0.7424,0.52,0.0,63,217,summer,2012,August,12,0,Wednesday,1,Mist,280
0.8,0.697,0.33,0.4627,92,266,spring,2012,April,16,1,Monday,0,Clear,358
0.5,0.4848,0.51,0.2836,36,104,summer,2011,September,10,0,Friday,1,Mist,140
0.32,0.3485,0.66,0.0,18,359,fall,2012,November,19,0,Friday,1,Clear,377
0.36,0.3788,0.62,0.0,1,6,spring,2012,April,2,0,Wednesday,1,Clear,7
0.24,0.2424,0.75,0.0896,0,3,winter,2012,December,4,0,Saturday,0,Mist,3
0.62,0.5758,0.83,0.1642,33,396,summer,2011,September,8,0,Wednesday,1,Clear,429
0.66,0.6212,0.34,0.1343,108,242,spring,2012,May,14,0,Friday,1,Clear,350
0.38,0.3939,0.66,0.0,21,81,spring,2012,April,20,0,Saturday,0,Mist,102
0.7,0.6515,0.65,0.0,54,756,fall,2012,October,18,0,Wednesday,1,Clear,810
0.46,0.4545,1.0,0.2239,13,249,fall,2011,December,17,0,Tuesday,1,Mist,262
0.24,0.2121,0.32,0.3582,8,347,winter,2012,January,18,0,Wednesday,1,Clear,355
0.22,0.2273,1.0,0.1343,1,46,winter,2011,February,11,0,Saturday,0,Light Snow,47
0.56,0.5303,0.64,0.2239,105,314,fall,2012,November,12,1,Monday,0,Clear,419
0.28,0.2576,0.57,0.3582,13,115,winter,2012,March,14,0,Monday,1,Mist,128
0.66,0.6061,0.83,0.194,58,117,summer,2012,July,10,0,Monday,1,Mist,175
0.48,0.4697,0.59,0.4925,118,373,fall,2012,October,12,0,Sunday,0,Mist,491
0.6,0.5909,0.73,0.194,6,175,summer,2012,August,6,0,Wednesday,1,Clear,181
0.24,0.2424,0.52,0.1642,4,57,winter,2012,March,1,0,Sunday,0,Clear,61
0.72,0.6818,0.62,0.194,68,176,spring,2011,June,10,0,Saturday,0,Clear,244
0.2,0.1667,0.34,0.4478,6,69,winter,2011,January,13,0,Sunday,0,Clear,75
0.5,0.4848,0.68,0.0,19,104,fall,2012,September,21,0,Sunday,0,Clear,123
0.56,0.5303,0.22,0.4478,27,99,winter,2011,February,12,0,Monday,1,Clear,126
0.44,0.4394,0.44,0.194,0,3,winter,2012,February,3,0,Wednesday,1,Clear,3
0.28,0.2576,0.87,0.3881,6,70,fall,2012,November,12,0,Tuesday,1,Light Snow,76
0.72,0.6818,0.66,0.2537,19,53,summer,2011,July,23,0,Sunday,0,Clear,72
0.64,0.5758,0.83,0.1343,26,140,summer,2012,August,21,0,Sunday,0,Clear,166
0.42,0.4242,0.94,0.0896,5,3,winter,2012,March,5,0,Saturday,0,Mist,8
0.36,0.3636,0.93,0.0896,17,181,fall,2012,December,18,0,Sunday,0,Light Snow,198
0.74,0.697,0.7,0.1343,33,194,summer,2011,June,9,0,Thursday,1,Mist,227
0.52,0.5,0.48,0.1045,51,145,fall,2012,September,21,0,Sunday,0,Mist,196
0.36,0.3182,0.71,0.4925,1,5,winter,2012,December,4,0,Friday,1,Mist,6
0.46,0.4545,0.77,0.194,0,2,spring,2012,May,4,0,Thursday,1,Clear,2
0.3,0.2727,0.42,0.3881,29,234,winter,2012,December,15,0,Friday,1,Mist,263
0.38,0.3939,0.76,0.194,21,130,fall,2011,November,19,0,Sunday,0,Clear,151
0.3,0.3333,0.7,0.0,0,24,winter,2012,March,5,0,Friday,1,Clear,24
0.36,0.3333,0.43,0.2836,28,69,winter,2011,December,16,1,Monday,0,Clear,97
0.78,0.6818,0.35,0.1343,71,221,summer,2012,July,12,0,Thursday,1,Clear,292
0.48,0.4697,0.41,0.2239,15,86,winter,2011,February,12,0,Thursday,1,Clear,101
0.4,0.4091,0.87,0.1343,1,11,spring,2011,March,5,0,Tuesday,1,Mist,12
0.36,0.3485,0.93,0.1343,10,99,fall,2012,December,19,0,Sunday,0,Clear,109
0.62,0.6212,0.5,0.1045,31,144,spring,2011,June,22,0,Wednesday,1,Clear,175
0.44,0.4394,0.54,0.0,39,153,fall,2012,November,20,0,Saturday,0,Clear,192
0.36,0.3788,0.66,0.0,4,27,winter,2011,December,23,0,Saturday,0,Clear,31
0.32,0.3182,0.61,0.1642,19,131,winter,2012,February,12,0,Monday,1,Clear,150
0.5,0.4848,0.51,0.1642,24,156,fall,2011,November,12,0,Wednesday,1,Clear,180
0.24,0.2576,0.75,0.0896,1,1,winter,2011,March,4,0,Tuesday,1,Clear,2
0.4,0.4091,0.87,0.0,9,152,fall,2011,November,21,0,Wednesday,1,Clear,161
0.66,0.6212,0.34,0.1343,124,688,spring,2012,May,17,0,Friday,1,Clear,812
0.38,0.3939,0.46,0.0,4,8,spring,2012,April,5,0,Sunday,0,Clear,12
0.68,0.6364,0.79,0.1642,4,10,summer,2012,July,5,0,Saturday,0,Clear,14
0.8,0.7273,0.43,0.194,203,399,summer,2012,June,12,0,Saturday,0,Clear,602
0.62,0.6061,0.69,0.0,33,288,fall,2012,October,21,0,Thursday,1,Clear,321
0.66,0.6212,0.34,0.4478,80,228,summer,2012,June,12,0,Tuesday,1,Clear,308
0.44,0.4394,0.47,0.194,25,249,winter,2012,February,20,0,Wednesday,1,Mist,274
0.54,0.5152,0.77,0.0,4,107,summer,2011,August,6,0,Wednesday,1,Clear,111
0.2,0.2121,0.37,0.1642,9,63,winter,2011,January,15,0,Friday,1,Mist,72
0.32,0.303,0.81,0.2985,1,1,spring,2011,March,5,0,Monday,1,Clear,2
0.46,0.4545,0.51,0.2985,39,430,fall,2011,October,18,0,Thursday,1,Mist,469
0.46,0.4545,0.82,0.2537,47,82,fall,2011,October,10,0,Monday,1,Mist,129
0.66,0.5909,0.89,0.0,28,56,summer,2012,September,2,0,Sunday,0,Clear,84
0.7,0.6364,0.32,0.0,102,647,winter,2012,March,18,0,Wednesday,1,Clear,749
0.44,0.4394,0.58,0.1045,11,127,fall,2011,December,14,0,Tuesday,1,Mist,138
0.36,0.3485,0.71,0.1343,0,7,fall,2011,October,3,0,Friday,1,Clear,7
0.2,0.2576,0.86,0.0,6,36,winter,2012,January,6,0,Monday,1,Mist,42
0.34,0.3485,0.61,0.1045,20,170,winter,2012,February,21,0,Tuesday,1,Clear,190
0.34,0.3333,0.49,0.1343,63,149,winter,2012,January,13,0,Wednesday,1,Clear,212
0.52,0.5,0.63,0.2537,6,166,summer,2012,September,6,0,Wednesday,1,Clear,172
0.68,0.6364,0.79,0.0896,2,4,summer,2012,July,3,0,Monday,1,Clear,6
0.22,0.2576,0.55,0.0896,13,407,winter,2012,January,8,0,Monday,1,Mist,420
0.78,0.7121,0.52,0.0,23,88,spring,2011,June,10,0,Friday,1,Clear,111
0.56,0.5303,0.94,0.1045,4,4,spring,2011,June,4,0,Monday,1,Clear,8
0.86,0.7879,0.41,0.1045,171,309,summer,2012,July,13,0,Sunday,0,Clear,480
0.3,0.303,0.49,0.1343,76,146,winter,2012,December,13,0,Friday,1,Mist,222
0.64,0.5758,0.89,0.1343,7,23,summer,2011,July,3,0,Saturday,0,Clear,30
0.86,0.7576,0.34,0.194,66,151,summer,2012,July,11,0,Tuesday,1,Clear,217
0.76,0.7273,0.66,0.1045,2,14,summer,2012,July,1,0,Wednesday,1,Clear,16
0.66,0.6212,0.5,0.1045,83,250,spring,2012,June,21,0,Friday,1,Clear,333
0.6,0.5909,0.73,0.0896,7,14,summer,2011,September,1,0,Thursday,1,Clear,21
0.6,0.6212,0.38,0.194,119,223,spring,2011,May,16,0,Saturday,0,Clear,342
0.7,0.6667,0.84,0.1045,2,4,summer,2011,July,3,0,Wednesday,1,Clear,6
0.26,0.2576,0.56,0.1642,9,65,winter,2011,February,9,0,Saturday,0,Mist,74
0.36,0.3788,0.93,0.0,12,393,winter,2011,December,8,0,Wednesday,1,Light Snow,405
0.26,0.2121,0.44,0.4478,17,175,winter,2012,January,15,1,Monday,0,Clear,192
0.72,0.697,0.79,0.194,3,6,summer,2012,August,3,0,Friday,1,Mist,9
0.26,0.303,0.7,0.0,10,39,winter,2011,December,21,1,Monday,0,Clear,49
0.46,0.4545,0.55,0.0,39,114,spring,2011,April,12,0,Thursday,1,Mist,153
0.26,0.2576,0.44,0.2239,43,120,spring,2011,March,12,0,Sunday,0,Mist,163
0.38,0.3939,0.62,0.2836,4,67,winter,2011,February,16,0,Thursday,1,Light Snow,71
0.74,0.6818,0.58,0.3284,38,154,summer,2012,July,23,0,Tuesday,1,Clear,192
0.22,0.2273,0.47,0.1642,7,82,winter,2011,January,20,0,Wednesday,1,Clear,89
0.68,0.6364,0.79,0.1642,48,161,fall,2011,September,12,0,Monday,1,Mist,209
0.48,0.4697,0.77,0.0896,7,155,fall,2012,October,22,0,Tuesday,1,Mist,162
0.78,0.7576,0.66,0.2239,89,300,summer,2012,August,20,0,Friday,1,Mist,389
0.54,0.5152,0.94,0.2537,2,2,spring,2011,May,4,0,Tuesday,1,Light Snow,4
0.46,0.4545,0.44,0.3881,45,192,fall,2011,November,15,0,Friday,1,Clear,237
0.32,0.303,0.39,0.2985,18,126,winter,2012,February,14,0,Thursday,1,Clear,144
0.18,0.2424,0.8,0.0,7,57,winter,2011,January,10,0,Sunday,0,Mist,64
0.6,0.5455,0.88,0.1642,10,146,spring,2012,May,6,0,Thursday,1,Mist,156
0.62,0.5455,0.94,0.0896,1,132,fall,2012,October,6,0,Thursday,1,Light Snow,133
