temp,atemp,hum,windspeed,casual,registered,cnt,season,yr,mnth,hr,holiday,workingday,weathersit,weekday
0.34,0.3333,0.71,0.194,4,6,10,spring,2011,May,1,0,1,Clear,Thursday
0.76,0.6818,0.48,0.2836,250,404,654,summer,2012,September,14,0,0,Clear,Saturday
0.66,0.6212,0.5,0.194,213,473,686,spring,2012,March,19,0,1,Clear,Friday
0.34,0.3333,0.87,0.1642,33,170,203,winter,2012,January,13,0,1,Clear,Tuesday
0.84,0.7727,0.47,0.1343,74,180,254,summer,2012,July,13,0,1,Clear,Thursday
0.82,0.7727,0.52,0.2239,129,266,395,summer,2012,July,10,0,0,Clear,Saturday
0.72,0.7121,0.84,0.0,4,23,27,summer,2011,July,5,0,1,Clear,Friday
0.54,0.5152,0.26,0.4478,30,277,307,winter,2012,January,16,0,1,Clear,Tuesday
0.34,0.3182,0.42,0.2239,12,370,382,fall,2011,December,18,0,1,Clear,Tuesday
0.64,0.6061,0.23,0.2537,73,430,503,spring,2012,May,19,0,1,Clear,Friday
0.5,0.4848,0.88,0.2239,12,164,176,spring,2011,April,7,0,1,Mist,Monday
0.16,0.1515,0.8,0.2537,1,51,52,winter,2012,January,23,0,0,Mist,Saturday
0.24,0.2576,0.38,0.1045,5,127,132,winter,2011,January,19,0,1,Clear,Wednesday
0.58,0.5455,0.64,0.1343,45,334,379,fall,2012,October,20,0,1,Clear,Tuesday
0.52,0.5,0.88,0.1045,4,15,19,fall,2012,October,2,0,1,Mist,Friday
0.2,0.1818,0.34,0.3284,5,119,124,winter,2012,January,12,0,1,Mist,Friday
0.52,0.5,0.88,0.1642,1,4,5,fall,2012,October,4,0,1,Mist,Friday
0.34,0.3182,0.53,0.2836,2,47,49,spring,2011,April,6,0,1,Clear,Friday
0.52,0.5,0.77,0.194,16,39,55,summer,2012,September,5,0,0,Clear,Sunday
0.32,0.2879,0.42,0.4627,8,146,154,winter,2012,December,10,0,1,Clear,Friday
0.54,0.5152,0.45,0.2836,2,7,9,summer,2012,June,3,0,1,Clear,Tuesday
0.42,0.4242,0.38,0.2985,13,127,140,winter,2012,January,12,0,1,Clear,Tuesday
0.62,0.6212,0.41,0.2239,51,148,199,spring,2011,May,15,0,1,Clear,Monday
0.4,0.4091,0.76,0.1343,25,257,282,fall,2011,November,19,0,1,Clear,Wednesday
0.5,0.4848,0.34,0.4627,174,127,301,winter,2011,March,13,0,0,Clear,Saturday
0.4,0.4091,0.87,0.0,0,24,24,fall,2011,November,0,0,1,Clear,Thursday
0.56,0.5303,0.68,0.1343,35,252,287,spring,2012,April,21,0,1,Clear,Friday
0.68,0.6364,0.61,0.2239,61,107,168,summer,2011,July,23,0,0,Clear,Saturday
0.68,0.6364,0.61,0.1343,76,709,785,spring,2012,May,18,0,1,Clear,Tuesday
0.72,0.6515,0.37,0.3881,95,331,426,winter,2012,March,16,0,1,Clear,Thursday
0.36,0.3485,0.81,0.1642,19,49,68,winter,2011,March,10,0,1,Mist,Wednesday
0.22,0.2273,0.55,0.1343,17,37,54,spring,2011,March,9,0,0,Clear,Sunday
0.54,0.5152,0.64,0.0,28,123,151,summer,2012,September,0,0,0,Clear,Sunday
0.78,0.697,0.46,0.2985,101,189,290,summer,2011,July,11,0,0,Clear,Saturday
0.66,0.6061,0.83,0.1642,25,151,176,summer,2011,September,12,0,1,Mist,Thursday
0.74,0.697,0.7,0.2239,60,155,215,summer,2011,August,9,0,0,Clear,Saturday
0.1,0.1061,0.46,0.2537,0,33,33,winter,2012,January,22,0,1,Clear,Tuesday
0.64,0.5758,0.83,0.1045,10,95,105,summer,2011,July,6,0,1,Clear,Monday
0.62,0.5455,0.94,0.0,2,7,9,fall,2012,October,2,0,1,Mist,Wednesday
0.54,0.5152,0.52,0.2836,55,104,159,winter,2011,March,11,0,1,Clear,Friday
0.62,0.5455,0.94,0.0,30,253,283,summer,2011,September,19,0,1,Light Snow,Wednesday
0.26,0.2273,0.56,0.3284,6,146,152,winter,2011,January,19,0,1,Clear,Thursday
0.8,0.7424,0.49,0.2836,56,241,297,summer,2012,August,12,0,1,Clear,Tuesday
0.62,0.5909,0.78,0.1045,24,43,67,spring,2012,May,7,1,0,Clear,Monday
0.5,0.4848,0.72,0.1642,70,354,424,fall,2012,October,16,0,1,Mist,Tuesday
0.76,0.7273,0.66,0.1045,70,173,243,summer,2011,August,12,0,1,Mist,Friday
0.16,0.1667,0.4,0.1642,1,71,72,winter,2012,January,21,0,0,Clear,Sunday
0.4,0.4091,0.82,0.2239,5,162,167,winter,2012,February,16,0,1,Light Snow,Wednesday
0.5,0.4848,0.82,0.0,1,52,53,fall,2012,October,5,0,1,Clear,Wednesday
0.3,0.303,0.7,0.1343,8,349,357,fall,2012,November,7,0,1,Mist,Friday
0.86,0.803,0.47,0.2537,61,176,237,summer,2012,July,15,0,1,Clear,Monday
0.6,0.6061,0.6,0.1045,7,17,24,summer,2011,August,1,0,1,Clear,Wednesday
0.36,0.3788,0.76,0.0,13,31,44,fall,2012,November,19,1,0,Clear,Thursday
0.82,0.7727,0.52,0.1343,50,283,333,summer,2012,July,21,0,1,Clear,Tuesday
0.2,0.2273,1.0,0.0896,0,10,10,winter,2011,February,8,0,0,Light Snow,Saturday
0.3,0.3182,0.93,0.1045,0,3,3,winter,2011,March,5,0,1,Mist,Wednesday
0.68,0.6364,0.36,0.1343,88,264,352,summer,2012,September,12,0,1,Clear,Wednesday
0.42,0.4242,0.67,0.1045,14,2,16,spring,2011,April,2,0,1,Clear,Monday
0.62,0.5909,0.73,0.0,7,39,46,summer,2012,August,23,0,0,Mist,Sunday
0.44,0.4394,0.67,0.2239,44,127,171,fall,2012,November,21,0,0,Clear,Sunday
0.34,0.303,0.49,0.2985,18,95,113,winter,2011,March,16,0,1,Mist,Friday
0.66,0.6212,0.57,0.1045,75,812,887,fall,2012,October,18,0,1,Clear,Thursday
0.42,0.4242,0.32,0.0,92,132,224,winter,2011,March,16,0,0,Clear,Sunday
0.6,0.6212,0.49,0.3881,50,153,203,fall,2011,November,13,0,1,Clear,Monday
0.3,0.2727,0.7,0.3582,0,10,10,winter,2011,December,7,0,0,Clear,Saturday
0.6,0.5758,0.78,0.0,2,103,105,summer,2011,September,6,0,1,Clear,Thursday
0.3,0.3182,0.42,0.1045,0,26,26,winter,2011,January,22,0,0,Mist,Saturday
0.76,0.7273,0.66,0.2239,119,567,686,summer,2012,August,19,0,1,Clear,Wednesday
0.2,0.2121,0.51,0.1642,3,66,69,winter,2011,January,20,0,1,Clear,Thursday
0.3,0.2879,0.75,0.2836,4,32,36,fall,2011,October,22,0,1,Light Snow,Friday
0.84,0.7273,0.3,0.2985,253,298,551,summer,2012,June,14,0,0,Clear,Sunday
0.54,0.5152,0.88,0.194,44,119,163,winter,2012,March,10,0,1,Clear,Tuesday
0.32,0.3333,0.66,0.1045,8,57,65,fall,2012,November,23,0,1,Mist,Monday
0.72,0.6667,0.48,0.1045,52,222,274,spring,2012,May,15,0,1,Mist,Wednesday
0.28,0.2424,0.33,0.4179,15,317,332,winter,2012,January,17,0,1,Clear,Friday
0.42,0.4242,0.38,0.2537,24,134,158,spring,2012,April,22,0,1,Clear,Friday
0.26,0.2879,0.65,0.0896,0,1,1,winter,2011,March,2,0,1,Clear,Monday
0.3,0.2727,0.52,0.3284,9,215,224,fall,2011,December,9,0,1,Clear,Thursday
0.38,0.3939,0.66,0.0,1,6,7,fall,2012,October,4,0,1,Clear,Monday
0.26,0.2424,0.56,0.2537,3,5,8,fall,2012,December,2,0,1,Mist,Thursday
0.16,0.1212,0.37,0.4179,9,68,77,winter,2012,January,15,0,1,Clear,Tuesday
0.8,0.7424,0.49,0.2239,47,127,174,summer,2011,July,22,0,1,Clear,Friday
0.72,0.6515,0.42,0.1642,161,307,468,fall,2012,October,12,0,1,Clear,Friday
0.34,0.3182,0.66,0.2537,4,3,7,spring,2011,May,4,0,1,Clear,Thursday
0.46,0.4545,0.94,0.194,2,1,3,winter,2011,January,4,0,0,Mist,Sunday
0.7,0.6667,0.84,0.0896,0,8,8,summer,2012,September,4,0,1,Mist,Thursday
0.16,0.1515,0.8,0.194,4,29,33,winter,2011,January,20,1,0,Light Snow,Monday
0.52,0.5,0.77,0.0,13,110,123,spring,2012,June,23,0,1,Clear,Wednesday
0.74,0.6515,0.35,0.1642,58,202,260,summer,2011,July,9,0,1,Clear,Friday
0.62,0.5455,0.94,0.0896,35,113,148,summer,2011,September,23,0,1,Clear,Friday
0.64,0.5758,0.89,0.194,20,23,43,summer,2011,September,3,0,0,Clear,Sunday
0.38,0.3939,0.66,0.2836,1,0,1,spring,2011,April,3,0,1,Clear,Monday
0.32,0.2879,0.36,0.4179,21,56,77,winter,2011,March,14,0,1,Clear,Monday
0.7,0.6667,0.74,0.2239,23,139,162,summer,2011,June,22,0,1,Mist,Thursday
0.9,0.8182,0.35,0.3582,88,188,276,summer,2012,July,12,0,1,Clear,Thursday
0.2,0.1818,0.4,0.3284,3,141,144,winter,2011,January,18,0,1,Clear,Thursday
0.74,0.6515,0.4,0.1343,148,317,465,summer,2012,August,19,0,0,Clear,Sunday
0.7,0.6364,0.45,0.1045,33,105,138,summer,2011,August,10,0,1,Clear,Wednesday
0.32,0.303,0.53,0.3284,0,23,23,spring,2012,April,5,0,1,Clear,Friday
0.44,0.4394,0.77,0.2239,1,0,1,summer,2011,September,4,0,0,Clear,Sunday
0.62,0.6212,0.5,0.1642,55,63,118,winter,2011,March,22,0,1,Clear,Friday
0.76,0.7273,0.66,0.2537,28,108,136,summer,2011,June,11,0,1,Light Snow,Thursday
0.36,0.3333,0.5,0.3582,25,64,89,winter,2011,March,14,0,1,Mist,Friday
0.3,0.2727,0.61,0.3284,12,252,264,winter,2012,March,9,0,1,Clear,Wednesday
0.66,0.6212,0.69,0.1343,67,220,287,summer,2011,September,19,0,1,Clear,Friday
0.26,0.2879,0.35,0.0,6,78,84,winter,2011,January,12,0,1,Clear,Thursday
0.64,0.6061,0.73,0.0,62,296,358,summer,2012,August,20,0,1,Clear,Tuesday
0.32,0.3333,0.66,0.1343,24,415,439,winter,2012,January,18,0,1,Clear,Wednesday
0.24,0.2121,0.65,0.2836,0,56,56,winter,2011,January,22,0,1,Mist,Thursday
0.64,0.5758,0.89,0.0,21,264,285,summer,2011,September,17,0,1,Light Snow,Wednesday
0.2,0.2273,0.69,0.1045,9,391,400,fall,2011,December,8,0,1,Clear,Tuesday
0.22,0.2424,0.69,0.1045,1,3,4,winter,2012,January,3,0,1,Clear,Friday
0.32,0.3485,0.76,0.0,18,211,229,winter,2012,January,20,0,1,Clear,Tuesday
0.6,0.5606,0.83,0.2239,156,301,457,summer,2012,July,12,0,0,Light Snow,Saturday
0.66,0.6061,0.78,0.0896,10,94,104,spring,2011,June,6,0,1,Clear,Friday
0.6,0.5758,0.78,0.1045,15,33,48,spring,2012,May,1,0,1,Clear,Friday
0.38,0.3939,0.43,0.2836,0,1,1,spring,2012,April,4,0,1,Clear,Thursday
0.76,0.6818,0.48,0.194,37,86,123,spring,2011,June,10,0,1,Mist,Tuesday
0.5,0.4848,0.29,0.3881,16,318,334,winter,2012,February,19,0,1,Clear,Monday
0.24,0.2424,0.93,0.1642,7,19,26,winter,2012,December,17,0,1,Light Snow,Monday
0.22,0.2273,0.47,0.1343,6,161,167,winter,2011,February,18,0,1,Clear,Tuesday
0.64,0.6061,0.69,0.1343,2,5,7,spring,2011,May,4,0,1,Clear,Friday
0.54,0.5152,0.77,0.194,38,245,283,fall,2012,October,21,0,1,Mist,Thursday
0.42,0.4242,0.35,0.4179,41,180,221,winter,2012,February,15,0,1,Clear,Friday
0.56,0.5303,0.73,0.1642,4,21,25,summer,2011,September,0,0,1,Mist,Tuesday
0.32,0.3333,0.53,0.1343,23,102,125,winter,2012,January,9,0,0,Clear,Sunday
0.52,0.5,0.94,0.2985,6,3,9,spring,2011,May,3,0,1,Light Snow,Wednesday
0.46,0.4545,0.33,0.2836,11,261,272,winter,2012,January,19,0,1,Clear,Friday
0.84,0.7273,0.32,0.0896,92,141,233,summer,2012,July,11,0,1,Clear,Friday
0.46,0.4545,0.82,0.1642,1,2,3,fall,2011,October,2,0,1,Clear,Wednesday
0.66,0.6061,0.83,0.1343,31,90,121,summer,2011,July,0,0,0,Mist,Saturday
0.36,0.3636,0.81,0.0896,0,4,4,fall,2012,October,4,0,1,Clear,Wednesday
0.68,0.6364,0.79,0.1045,19,35,54,summer,2011,September,1,1,0,Mist,Monday
0.26,0.2273,0.6,0.3284,15,462,477,fall,2011,December,8,0,1,Clear,Thursday
0.66,0.6212,0.47,0.194,123,229,352,spring,2012,June,20,0,0,Mist,Saturday
0.64,0.6061,0.73,0.1343,27,364,391,summer,2011,September,8,0,1,Clear,Thursday
0.76,0.7273,0.66,0.0896,219,284,503,summer,2012,September,17,0,0,Clear,Sunday
0.56,0.5303,0.88,0.194,0,17,17,spring,2012,May,5,0,1,Light Snow,Tuesday
0.42,0.4242,0.38,0.2239,16,103,119,winter,2012,January,23,0,0,Clear,Saturday
0.74,0.7121,0.74,0.2537,97,177,274,summer,2011,August,10,0,0,Clear,Sunday
0.78,0.7121,0.52,0.2239,19,105,124,summer,2011,September,14,0,1,Clear,Wednesday
0.94,0.9848,0.51,0.1642,25,98,123,summer,2011,July,13,0,1,Clear,Friday
0.44,0.4394,0.62,0.2537,142,331,473,fall,2012,December,14,0,0,Clear,Sunday
0.42,0.4242,0.26,0.0896,17,149,166,winter,2012,February,15,0,1,Clear,Tuesday
0.4,0.4091,0.71,0.2239,84,347,431,fall,2012,December,13,0,0,Clear,Sunday
0.62,0.5909,0.73,0.4627,61,123,184,spring,2011,May,14,0,1,Clear,Tuesday
0.4,0.4091,0.76,0.0,15,300,315,fall,2011,October,19,0,1,Clear,Monday
0.52,0.5,0.77,0.194,7,9,16,fall,2011,October,1,0,1,Mist,Wednesday
0.26,0.2576,0.56,0.2239,0,20,20,fall,2011,December,7,0,0,Mist,Saturday
0.5,0.4848,0.63,0.2537,10,94,104,fall,2011,November,20,0,0,Clear,Sunday
0.4,0.4091,0.82,0.2985,60,255,315,fall,2012,December,12,0,0,Mist,Sunday
0.2,0.2121,0.75,0.1343,1,0,1,winter,2011,March,4,0,1,Clear,Wednesday
0.34,0.303,0.42,0.3582,4,42,46,winter,2012,February,1,0,0,Clear,Saturday
0.42,0.4242,0.71,0.2239,0,21,21,fall,2011,October,5,0,1,Clear,Wednesday
0.68,0.6364,0.57,0.3582,74,425,499,spring,2011,April,18,0,1,Clear,Monday
0.42,0.4242,0.88,0.1343,7,333,340,fall,2012,December,19,0,1,Mist,Monday
0.46,0.4545,0.41,0.4925,6,102,108,spring,2012,April,22,0,1,Mist,Monday
0.82,0.7121,0.26,0.2537,214,316,530,summer,2012,June,17,0,0,Clear,Saturday
0.32,0.3182,0.87,0.194,14,247,261,spring,2011,March,8,0,1,Mist,Wednesday
0.3,0.3333,0.56,0.0,14,95,109,winter,2011,January,15,0,0,Clear,Sunday
0.64,0.6061,0.23,0.2537,102,677,779,spring,2012,May,17,0,1,Clear,Friday
0.46,0.4545,0.67,0.2537,0,1,1,winter,2011,February,4,0,1,Clear,Friday
0.32,0.303,0.66,0.3284,4,93,97,fall,2011,November,11,0,1,Light Snow,Thursday
0.72,0.6667,0.54,0.2239,69,462,531,summer,2011,September,18,0,1,Clear,Thursday
0.56,0.5303,0.4,0.0896,39,166,205,fall,2011,October,12,0,1,Clear,Monday
0.28,0.2727,0.52,0.2239,71,107,178,winter,2012,December,11,0,1,Mist,Friday
0.2,0.2121,0.51,0.1343,0,5,5,winter,2012,January,4,0,1,Clear,Monday
0.6,0.5455,0.88,0.1642,2,15,17,fall,2012,September,0,0,1,Light Snow,Friday
0.66,0.6212,0.69,0.2239,41,218,259,summer,2012,August,22,0,1,Mist,Thursday
0.56,0.5303,0.64,0.1343,80,540,620,fall,2011,October,17,0,1,Clear,Monday
0.38,0.3939,0.46,0.1642,24,135,159,fall,2011,December,15,0,1,Clear,Monday
0.2,0.1818,0.47,0.2985,1,1,2,winter,2011,February,6,0,0,Clear,Sunday
0.8,0.7424,0.49,0.1642,82,123,205,summer,2011,July,21,0,0,Clear,Saturday
0.56,0.5303,0.19,0.2537,120,225,345,spring,2012,April,13,0,1,Clear,Tuesday
0.24,0.2121,0.65,0.2836,10,405,415,fall,2012,November,7,0,1,Clear,Wednesday
0.36,0.3636,0.29,0.0896,59,88,147,winter,2011,February,16,0,0,Clear,Sunday
0.02,0.0455,0.41,0.1642,0,59,59,winter,2012,January,6,0,1,Clear,Wednesday
0.24,0.2879,0.6,0.0,3,22,25,winter,2012,December,23,0,0,Clear,Sunday
0.34,0.3636,0.46,0.0,47,135,182,winter,2011,February,13,0,0,Clear,Sunday
0.42,0.4242,0.26,0.1343,8,18,26,spring,2012,April,3,0,0,Clear,Sunday
0.74,0.697,0.66,0.1642,116,176,292,summer,2011,August,16,0,0,Clear,Sunday
0.7,0.6667,0.74,0.1045,4,7,11,summer,2011,August,2,0,1,Clear,Monday
0.46,0.4545,0.36,0.3582,63,244,307,spring,2012,April,12,0,1,Clear,Friday
0.3,0.2879,0.49,0.2836,4,135,139,fall,2012,November,6,0,1,Mist,Monday
0.6,0.5606,0.83,0.1642,4,4,8,summer,2011,September,3,0,1,Mist,Friday
0.3,0.3182,0.61,0.0896,5,104,109,fall,2011,December,21,0,0,Mist,Saturday
0.24,0.2273,0.87,0.2239,0,1,1,winter,2012,December,3,0,1,Mist,Thursday
0.56,0.5303,0.4,0.4627,35,509,544,winter,2012,March,18,0,1,Clear,Wednesday
0.28,0.2576,0.41,0.3582,6,5,11,fall,2012,November,3,0,0,Clear,Saturday
0.56,0.5303,0.6,0.0896,35,268,303,spring,2012,June,9,0,1,Clear,Wednesday
0.8,0.7424,0.49,0.1642,66,112,178,summer,2011,July,14,0,1,Clear,Tuesday
0.46,0.4545,0.67,0.2985,4,40,44,winter,2011,February,23,0,1,Clear,Thursday
0.3,0.303,0.61,0.1343,3,92,95,winter,2012,February,6,0,1,Clear,Wednesday
0.34,0.2879,0.46,0.6567,1,44,45,winter,2011,February,22,0,1,Clear,Monday
0.7,0.6515,0.61,0.2239,8,4,12,summer,2011,July,2,0,1,Clear,Monday
0.4,0.4091,0.4,0.2239,20,202,222,winter,2011,February,18,0,1,Clear,Wednesday
0.32,0.2879,0.53,0.3582,2,22,24,winter,2011,March,1,0,0,Clear,Sunday
0.64,0.5909,0.78,0.0,13,13,26,summer,2011,July,3,1,0,Clear,Monday
0.52,0.5,0.23,0.1642,81,202,283,spring,2012,April,13,0,1,Clear,Tuesday
0.54,0.5152,0.77,0.194,37,132,169,spring,2012,April,14,0,1,Mist,Thursday
0.24,0.2273,0.93,0.2239,0,3,3,spring,2011,March,0,0,1,Light Snow,Thursday
0.3,0.2727,0.87,0.2985,0,18,18,fall,2011,October,1,0,0,Light Snow,Saturday
0.64,0.5606,0.94,0.1642,1,9,10,summer,2011,August,5,0,0,Mist,Sunday
0.6,0.6212,0.46,0.0896,139,243,382,spring,2011,May,12,0,0,Clear,Sunday
0.52,0.5,0.34,0.3582,27,169,196,spring,2011,May,12,0,1,Clear,Thursday
0.48,0.4697,0.63,0.2537,16,221,237,spring,2011,May,7,0,1,Clear,Monday
0.44,0.4394,1.0,0.194,3,30,33,fall,2011,December,0,0,1,Clear,Wednesday
0.84,0.803,0.53,0.2836,45,220,265,summer,2011,July,16,0,1,Clear,Monday
0.8,0.7727,0.59,0.1343,71,297,368,summer,2011,July,19,0,1,Clear,Tuesday
0.42,0.4242,0.58,0.2239,64,266,330,fall,2011,December,16,0,0,Clear,Sunday
0.56,0.5303,0.49,0.4179,43,169,212,summer,2012,September,8,0,0,Clear,Saturday
0.58,0.5455,0.4,0.1045,45,254,299,spring,2012,May,21,0,1,Clear,Thursday
0.36,0.3182,0.46,0.5224,9,204,213,winter,2012,February,20,0,1,Clear,Thursday
0.22,0.2121,0.44,0.2836,1,11,12,winter,2012,March,6,0,0,Clear,Saturday
0.68,0.6364,0.41,0.194,51,279,330,spring,2011,June,16,0,1,Clear,Tuesday
0.3,0.3182,0.93,0.1045,1,11,12,winter,2012,February,2,0,1,Mist,Friday
0.5,0.4848,0.77,0.0,54,163,217,fall,2011,October,9,0,0,Clear,Saturday
0.38,0.3939,0.62,0.2537,0,2,2,spring,2012,April,4,0,1,Clear,Monday
0.32,0.3182,0.57,0.194,0,3,3,winter,2012,March,3,0,1,Clear,Friday
0.3,0.303,0.39,0.1642,4,219,223,fall,2012,November,21,0,1,Clear,Wednesday
0.58,0.5455,0.68,0.4179,46,111,157,spring,2012,May,10,0,1,Mist,Tuesday
0.62,0.5455,0.94,0.0,33,127,160,summer,2011,September,22,0,1,Clear,Friday
0.74,0.697,0.7,0.1642,37,108,145,summer,2011,June,11,0,1,Clear,Wednesday
0.34,0.2879,0.46,0.5522,32,108,140,winter,2011,December,12,0,1,Clear,Wednesday
0.6,0.6061,0.64,0.1642,117,266,383,spring,2012,May,19,0,0,Mist,Sunday
0.62,0.5606,0.88,0.1642,4,11,15,summer,2011,July,5,0,0,Mist,Saturday
0.22,0.2121,0.44,0.2537,5,35,40,winter,2011,February,22,0,1,Clear,Wednesday
0.72,0.6667,0.58,0.0896,58,100,158,summer,2011,June,14,0,1,Mist,Monday
0.26,0.2727,0.7,0.1343,0,6,6,winter,2011,December,1,0,1,Clear,Tuesday
0.38,0.3939,0.87,0.2836,1,3,4,spring,2011,April,5,0,0,Mist,Saturday
0.6,0.6212,0.56,0.2239,4,17,21,spring,2012,June,1,0,1,Clear,Thursday
0.74,0.6818,0.55,0.1045,53,125,178,summer,2012,June,22,0,0,Clear,Sunday
0.6,0.6212,0.43,0.0896,99,677,776,spring,2012,April,18,0,1,Clear,Thursday
0.66,0.6212,0.47,0.2239,67,170,237,spring,2012,June,11,0,1,Clear,Thursday
0.54,0.5152,1.0,0.194,5,112,117,summer,2011,September,6,0,1,Mist,Wednesday
0.72,0.6667,0.51,0.1343,152,228,380,summer,2011,September,17,0,0,Clear,Sunday
0.4,0.4091,0.82,0.1045,17,97,114,fall,2012,October,19,0,0,Mist,Sunday
0.68,0.6364,0.65,0.0,1,7,8,summer,2012,August,2,0,1,Clear,Wednesday
0.84,0.803,0.53,0.2537,74,169,243,summer,2011,July,11,0,0,Clear,Sunday
0.66,0.6061,0.83,0.2239,7,9,16,summer,2011,June,2,0,1,Clear,Wednesday
0.24,0.197,0.6,0.4627,0,2,2,fall,2011,December,4,0,1,Mist,Thursday
0.18,0.1515,0.74,0.3284,5,64,69,winter,2012,January,21,0,0,Clear,Saturday
0.6,0.5455,0.88,0.1045,32,90,122,summer,2012,July,2,0,0,Mist,Sunday
0.26,0.2576,0.6,0.2239,26,202,228,fall,2011,December,12,0,0,Clear,Sunday
0.5,0.4848,0.51,0.2537,33,381,414,fall,2011,October,8,0,1,Mist,Monday
0.82,0.7424,0.41,0.0,27,139,166,summer,2011,August,9,0,1,Clear,Monday
0.42,0.4242,0.38,0.2537,14,446,460,winter,2012,January,17,0,1,Clear,Tuesday
0.52,0.5,0.68,0.2239,35,310,345,fall,2011,October,19,0,1,Clear,Tuesday
0.36,0.3485,0.43,0.1343,17,133,150,winter,2011,March,19,0,1,Clear,Monday
0.2,0.1818,0.51,0.3881,3,32,35,winter,2011,January,11,0,1,Clear,Wednesday
0.62,0.6212,0.43,0.1343,57,233,290,summer,2012,September,12,0,1,Clear,Thursday
0.56,0.5303,0.73,0.1642,44,113,157,spring,2012,May,22,0,0,Clear,Sunday
0.42,0.4242,0.26,0.2985,9,85,94,spring,2012,April,0,0,0,Clear,Saturday
0.42,0.4242,0.88,0.194,8,184,192,fall,2011,November,18,0,1,Light Snow,Monday
0.56,0.5303,0.83,0.2985,41,55,96,spring,2011,April,10,0,1,Mist,Monday
0.4,0.4091,0.5,0.2537,0,10,10,fall,2012,October,4,0,1,Clear,Thursday
0.4,0.4091,0.82,0.2537,10,21,31,spring,2012,March,3,0,0,Clear,Saturday
0.92,0.8485,0.35,0.1642,114,575,689,summer,2012,July,17,0,1,Clear,Thursday
0.68,0.6364,0.51,0.2537,35,179,214,spring,2012,April,22,1,0,Clear,Monday
0.34,0.303,0.76,0.2985,10,61,71,winter,2011,March,14,0,1,Mist,Wednesday
0.66,0.6212,0.36,0.0,276,366,642,spring,2012,May,12,0,0,Clear,Saturday
0.74,0.6667,0.51,0.2239,50,125,175,spring,2011,April,15,0,1,Clear,Monday
0.38,0.3939,0.94,0.1045,0,4,4,fall,2012,December,3,0,1,Mist,Monday
0.64,0.5909,0.78,0.2985,97,257,354,summer,2012,August,19,0,0,Mist,Saturday
0.7,0.6515,0.7,0.0896,16,53,69,summer,2012,July,0,0,1,Clear,Tuesday
0.64,0.6212,0.47,0.194,145,262,407,spring,2012,April,15,0,1,Clear,Friday
0.66,0.6212,0.65,0.3284,124,350,474,summer,2012,September,10,0,0,Clear,Saturday
0.36,0.3333,0.5,0.2537,11,467,478,fall,2012,October,7,0,1,Clear,Thursday
0.56,0.5303,0.88,0.0,4,4,8,spring,2011,May,2,0,1,Light Snow,Tuesday
0.44,0.4394,0.88,0.0,7,14,21,fall,2011,October,6,0,0,Clear,Sunday
0.74,0.6515,0.4,0.1343,48,148,196,summer,2011,August,14,0,1,Clear,Wednesday
0.6,0.5758,0.78,0.2239,46,493,539,fall,2011,October,18,0,1,Mist,Tuesday
0.26,0.2727,0.75,0.1045,0,7,7,winter,2012,January,6,0,0,Clear,Saturday
0.74,0.6818,0.58,0.4179,49,155,204,spring,2011,May,13,0,1,Mist,Monday
0.7,0.6667,0.79,0.2836,0,4,4,summer,2012,September,3,0,1,Clear,Wednesday
0.64,0.6061,0.65,0.2537,115,136,251,spring,2012,April,11,1,0,Clear,Monday
0.3,0.2879,0.49,0.2537,6,114,120,winter,2012,January,12,0,1,Clear,Thursday
0.78,0.697,0.4,0.2836,88,325,413,summer,2012,July,16,0,1,Clear,Monday
0.2,0.197,0.47,0.2239,0,33,33,winter,2011,January,6,0,1,Clear,Wednesday
0.64,0.6212,0.5,0.2239,98,192,290,spring,2012,June,21,0,0,Mist,Saturday
0.34,0.3636,0.76,0.0,1,8,9,spring,2011,April,4,0,1,Clear,Thursday
0.38,0.3939,0.4,0.194,42,229,271,winter,2011,March,17,0,1,Clear,Monday
0.46,0.4545,0.59,0.1343,180,324,504,fall,2012,November,11,0,0,Clear,Sunday
0.36,0.3788,0.87,0.0,0,7,7,fall,2012,October,3,0,1,Clear,Wednesday
0.7,0.6364,0.42,0.2537,114,265,379,spring,2012,April,19,0,0,Clear,Sunday
0.6,0.5606,0.83,0.194,2,38,40,spring,2012,June,5,0,1,Clear,Wednesday
0.54,0.5152,0.77,0.2239,0,6,6,spring,2012,April,4,1,0,Clear,Monday
0.5,0.4848,0.42,0.2239,0,6,6,spring,2012,April,3,0,1,Mist,Wednesday
0.12,0.1667,0.54,0.0896,0,2,2,winter,2012,February,4,0,1,Clear,Monday
0.32,0.3485,0.7,0.0,5,123,128,winter,2011,February,19,0,1,Mist,Monday
0.74,0.7121,0.79,0.0,3,10,13,summer,2011,July,2,0,1,Clear,Friday
0.72,0.6818,0.66,0.1642,16,98,114,summer,2012,July,23,0,1,Clear,Monday
0.64,0.5909,0.78,0.2537,6,97,103,summer,2011,August,6,0,1,Mist,Thursday
0.76,0.7273,0.7,0.2537,46,156,202,summer,2012,August,22,0,1,Clear,Friday
0.6,0.5606,0.83,0.1343,3,6,9,summer,2011,September,4,0,0,Clear,Sunday
0.44,0.4394,0.72,0.1045,12,36,48,spring,2012,April,0,0,1,Clear,Monday
0.7,0.6515,0.7,0.2985,30,104,134,summer,2011,June,22,0,1,Clear,Tuesday
